Geo Point;Geo Shape;gid;geom_o;geom_err;ident;insee;adresse;implantation;gestionnaire;libelle;nb_place;nb_pmr;nb_irve;condition_acces;actif;cdate;mdate
44.8381669, -0.5846129;"{""coordinates"": [-0.5846129, 44.8381669], ""type"": ""Point""}";1193;0;;045;33063;Rue Claude Bonnier 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Meriadeck Parking Meriadeck;5;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T15:32:18+01:00
44.837916, -0.568522;"{""coordinates"": [-0.568522, 44.837916], ""type"": ""Point""}";1200;0;;004;33063;8Cours d'Alsace-et-Lorraine 33000 Bordeaux;VOIRIE;CITIZ;Alsace-Lorraine (Agence Citiz);2;0;0;LIBRE;True;2017-12-05T09:21:37+01:00;2023-11-28T11:13:48+01:00
44.8489006, -0.5714739;"{""coordinates"": [-0.5714739, 44.8489006], ""type"": ""Point""}";1207;0;;005;33063;11 Cours Xavier Arnozan 33000 Bordeaux;VOIRIE;CITIZ;Arnozan;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T16:32:18+01:00
44.83612, -0.5669071;"{""coordinates"": [-0.5669071, 44.83612], ""type"": ""Point""}";1213;0;;058;33063;11 Cours Victor Hugo 33000 Bordeaux;VOIRIE;CITIZ;Porte de Bourgogne;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:08:23+01:00
44.8429262, -0.5710649;"{""coordinates"": [-0.5710649, 44.8429262], ""type"": ""Point""}";1217;0;;039;33063;3 Place Jean Jaurès 33000 Bordeaux;VOIRIE;CITIZ;Jean Jaurès;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T15:20:51+01:00
44.8423574, -0.5794243;"{""coordinates"": [-0.5794243, 44.8423574], ""type"": ""Point""}";1220;0;;029;33063;18 Cours Georges Clemenceau 33000 Bordeaux;VOIRIE;CITIZ;Gambetta Clémenceau;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T14:45:16+01:00
44.8087943, -0.5883232;"{""coordinates"": [-0.5883232, 44.8087943], ""type"": ""Point""}";1222;0;;084;33522;15 Rue du Professeur Arnozan 33400 Talence;VOIRIE;CITIZ;Talence Mairie;1;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T15:02:52+01:00
44.8415197, -0.5465118;"{""coordinates"": [-0.5465118, 44.8415197], ""type"": ""Point""}";1225;0;;010;33063;231 Rue de la Benauge 33100 Bordeaux;VOIRIE;CITIZ;Benauge;2;0;0;LIBRE;True;2018-10-23T15:57:51+02:00;2023-11-28T11:52:01+01:00
44.8230109, -0.5523777;"{""coordinates"": [-0.5523777, 44.8230109], ""type"": ""Point""}";1226;0;;013;33063;31 rue Sarette 33800 Bordeaux;VOIRIE;CITIZ;Belcier;2;0;0;LIBRE;True;2018-10-23T16:00:00+02:00;2023-11-28T13:06:39+01:00
44.8606565, -0.5634565;"{""coordinates"": [-0.5634565, 44.8606565], ""type"": ""Point""}";1236;0;;007;33063;180 Cours Balguerie Stuttenberg  33300 Bordeaux;VOIRIE;CITIZ;Balguerie;2;0;0;LIBRE;True;;2023-11-28T11:44:06+01:00
44.819254, -0.5803157;"{""coordinates"": [-0.5803157, 44.819254], ""type"": ""Point""}";1237;0;;086;33522;72 Rue Victor Hugo  33400 Talence;AUTRE;CITIZ;Rue Victor Hugo;1;0;0;LIBRE;True;;2023-11-29T15:09:35+01:00
44.8072714, -0.5477972;"{""coordinates"": [-0.5477972, 44.8072714], ""type"": ""Point""}";1696;0;;001;33039;Place du Bicentenaire;VOIRIE;CITIZ;Place du Bicentenaire;2;0;0;LIBRE;True;2023-11-27T15:57:25+01:00;2023-11-28T11:09:11+01:00
44.8426787, -0.6234888;"{""coordinates"": [-0.6234888, 44.8426787], ""type"": ""Point""}";1748;0;;124;33063;Rue du Général Castelnau;AUTRE;CITIZ;Titi Floris Gallieni;1;0;0;LIBRE;True;2023-11-29T17:00:54+01:00;2023-11-29T17:00:54+01:00
44.8066418, -0.5924213;"{""coordinates"": [-0.5924213, 44.8066418], ""type"": ""Point""}";1734;0;;085;33522;Avenue Roul, Talence;VOIRIE;CITIZ;Peixotto;2;0;0;LIBRE;True;2023-11-29T15:06:00+01:00;2023-11-29T15:06:00+01:00
44.9260217, -0.4875472;"{""coordinates"": [-0.4875472, 44.9260217], ""type"": ""Point""}";1735;0;;087;33003;14 rue Jean Moulin;VOIRIE;CITIZ;Titi Floris Ambares;1;0;0;LIBRE;True;2023-11-29T15:50:02+01:00;2023-11-29T15:50:02+01:00
44.8815811, -0.6124876;"{""coordinates"": [-0.6124876, 44.8815811], ""type"": ""Point""}";1737;0;;090;33075;mairie de Bruges;PARKING_PUBLIC;CITIZ;Mairie de BRUGES;2;0;0;SOUS_CONDITION;True;2023-11-29T15:57:08+01:00;2023-11-29T15:57:08+01:00
44.8759522, -0.6622907;"{""coordinates"": [-0.6622907, 44.8759522], ""type"": ""Point""}";1738;0;;100;33162;17 rue Aimée Césaire;AUTRE;CITIZ;Titi Floris Eysines;1;0;0;SOUS_CONDITION;True;2023-11-29T16:05:30+01:00;2023-11-29T16:05:30+01:00
44.794671, -0.6649994;"{""coordinates"": [-0.6649994, 44.794671], ""type"": ""Point""}";1740;0;;102;33318;Place de Navarre;AUTRE;CITIZ;Titi Floris Pessac;1;0;0;SOUS_CONDITION;True;2023-11-29T16:12:03+01:00;2023-11-29T16:12:03+01:00
44.7813294, -0.6054368;"{""coordinates"": [-0.6054368, 44.7813294], ""type"": ""Point""}";1744;0;;110;33192;Rue François Xavier;VOIRIE;CITIZ;Titi floris Gradignan;1;0;0;LIBRE;True;2023-11-29T16:29:39+01:00;2023-11-29T16:29:39+01:00
44.8228236, -0.5538564;"{""coordinates"": [-0.5538564, 44.8228236], ""type"": ""Point""}";1707;0;;024;33063;15 Allée Eugène Delacroix;VOIRIE;CITIZ;DeLaCroix;2;0;0;LIBRE;True;2023-11-28T13:50:33+01:00;2023-11-28T13:50:33+01:00
44.8471192, -0.5837184;"{""coordinates"": [-0.5837184, 44.8471192], ""type"": ""Point""}";1708;0;;026;33063;40-42 Rue Emile Fourcand;VOIRIE;CITIZ;Fourcand / Barraud;2;0;0;LIBRE;True;2023-11-28T13:53:08+01:00;2023-11-28T13:53:08+01:00
44.8227048, -0.5933272;"{""coordinates"": [-0.5933272, 44.8227048], ""type"": ""Point""}";1709;0;;028;33522;106-108 Crs Maréchal Gallieni;VOIRIE;CITIZ;Gallieni;2;0;0;LIBRE;True;2023-11-28T14:44:23+01:00;2023-11-29T16:09:32+01:00
44.8427812, -0.6284184;"{""coordinates"": [-0.6284184, 44.8427812], ""type"": ""Point""}";1710;0;;030;33063;51 avenue de la Gare;VOIRIE;CITIZ;Gare Caudéran Mérignac;1;0;0;LIBRE;True;2023-11-28T14:47:17+01:00;2023-11-28T14:47:17+01:00
44.8334598, -0.5934568;"{""coordinates"": [-0.5934568, 44.8334598], ""type"": ""Point""}";1712;0;;034;33063;75 Rue du Général Larminat;VOIRIE;CITIZ;Gaviniès;1;0;0;LIBRE;True;2023-11-28T14:53:31+01:00;2023-11-28T14:54:36+01:00
44.8439003, -0.5723721;"{""coordinates"": [-0.5723721, 44.8439003], ""type"": ""Point""}";1722;0;;049;33063;20 allée d'Orléans;VOIRIE;CITIZ;Orléans;2;0;0;LIBRE;True;2023-11-28T15:51:54+01:00;2023-11-28T15:51:54+01:00
44.823181, -0.5773702;"{""coordinates"": [-0.5773702, 44.823181], ""type"": ""Point""}";1727;0;;057;33063;7 Pl Simiot;VOIRIE;CITIZ;Place Simiot;2;0;0;LIBRE;True;2023-11-28T16:06:12+01:00;2023-11-28T16:06:12+01:00
44.8554204, -0.5641594;"{""coordinates"": [-0.5641594, 44.8554204], ""type"": ""Point""}";1728;0;;059;33063;111 Quai des Chartrons;VOIRIE;CITIZ;Quai des Chartrons;2;0;0;LIBRE;True;2023-11-28T16:10:21+01:00;2023-11-28T16:10:21+01:00
44.8824088, -0.5695938;"{""coordinates"": [-0.5695938, 44.8824088], ""type"": ""Point""}";1729;0;;060;33063;90 Cours du Québec;VOIRIE;CITIZ;Québec;1;0;0;LIBRE;True;2023-11-28T16:13:52+01:00;2023-12-01T13:59:12+01:00
44.8317408, -0.5734495;"{""coordinates"": [-0.5734495, 44.8317408], ""type"": ""Point""}";1731;0;;069;33063;75 Cours Pasteur;VOIRIE;CITIZ;Victoire / Pasteur;2;0;0;LIBRE;True;2023-11-28T16:55:29+01:00;2023-11-28T16:55:29+01:00
44.8559313, -0.5340841;"{""coordinates"": [-0.5340841, 44.8559313], ""type"": ""Point""}";1195;0;;073;33119;69 Avenue Jean Jaurès 33150 Cenon;VOIRIE;CITIZ;Gare de Cenon;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T14:54:58+01:00
44.8119081, -0.5906108;"{""coordinates"": [-0.5906108, 44.8119081], ""type"": ""Point""}";1196;0;;083;33522;300 Cours de la Libération 33400 Talence;VOIRIE;CITIZ;Talence Forum;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T15:02:35+01:00
44.8046277, -0.6322038;"{""coordinates"": [-0.6322038, 44.8046277], ""type"": ""Point""}";1197;0;;082;33318;23 Rue Eugène et Marc Dulout 33600 Pessac;VOIRIE;CITIZ;Gare de Pessac;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-29T15:02:12+01:00
44.8352923, -0.5724625;"{""coordinates"": [-0.5724625, 44.8352923], ""type"": ""Point""}";1198;0;;070;33063;117 Cours Victor Hugo 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Victor Hugo parking Metpark;5;0;0;SOUS_CONDITION;True;2017-12-05T00:00:00+01:00;2023-11-28T16:57:06+01:00
44.8146197, -0.5504697;"{""coordinates"": [-0.5504697, 44.8146197], ""type"": ""Point""}";1204;0;;002;33039;25 Rue Robert Schuman 33130 Bègles;VOIRIE;CITIZ;Bègles Terres Neuves;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T11:09:34+01:00
44.8253783, -0.577599;"{""coordinates"": [-0.577599, 44.8253783], ""type"": ""Point""}";1205;0;;014;33063;166 Cours de l'Argonne 33800 Bordeaux;VOIRIE;CITIZ;Bergonié;3;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-12-01T13:46:14+01:00
44.8247479, -0.5700105;"{""coordinates"": [-0.5700105, 44.8247479], ""type"": ""Point""}";1210;0;;011';33063;140 Cours de l'Yser 33800 Bordeaux;VOIRIE;CITIZ;Yser / Brémontier;1;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-12-01T13:50:21+01:00
44.8411112, -0.5614312;"{""coordinates"": [-0.5614312, 44.8411112], ""type"": ""Point""}";1214;0;;065;33063;1 Allée Serr 33100 Bordeaux;VOIRIE;CITIZ;Stalingrad Serr;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:50:23+01:00
44.8361236, -0.5753924;"{""coordinates"": [-0.5753924, 44.8361236], ""type"": ""Point""}";1218;0;;047;33063;14 Cours Pasteur 33000 Bordeaux;VOIRIE;CITIZ;Musée Aquitaine;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T15:39:24+01:00
44.8319299, -0.5751025;"{""coordinates"": [-0.5751025, 44.8319299], ""type"": ""Point""}";1219;0;;067;33063;68 Rue Henri IV 33000 Bordeaux;VOIRIE;CITIZ;Victoire HENRI IV;2;0;0;LIBRE;True;2017-12-05T00:00:00+01:00;2023-11-28T16:52:42+01:00
44.8664174, -0.5753998;"{""coordinates"": [-0.5753998, 44.8664174], ""type"": ""Point""}";1227;0;;062;33063;5 place Ravezies 333000 Bordeaux;VOIRIE;CITIZ;Ravezies;2;0;0;LIBRE;True;2018-10-23T16:01:08+02:00;2023-11-28T16:17:52+01:00
44.8444762, -0.5597399;"{""coordinates"": [-0.5597399, 44.8444762], ""type"": ""Point""}";1231;0;;036;33063;69 Allée Jean Giono;VOIRIE;CITIZ;Giono;3;0;0;LIBRE;True;;2023-11-28T15:01:24+01:00
44.8400005, -0.5830025;"{""coordinates"": [-0.5830025, 44.8400005], ""type"": ""Point""}";1232;0;;116;33063;38 Rue Edmond Michelet 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Gambetta Parking Metpark;0;0;0;SOUS_CONDITION;True;;2023-11-29T16:47:03+01:00
44.8383641, -0.6158506;"{""coordinates"": [-0.6158506, 44.8383641], ""type"": ""Point""}";1234;0;;081;33281;Place Mondésir 33700 Mérignac;VOIRIE;CITIZ;Place Mondésir;1;0;0;LIBRE;True;;2023-11-29T15:01:09+01:00
44.8554174, -0.5710945;"{""coordinates"": [-0.5710945, 44.8554174], ""type"": ""Point""}";1235;0;;12';33063;1 Crs Balguerie Stuttenberg;VOIRIE;CITIZ;Picard;2;0;0;LIBRE;True;;2023-11-29T16:36:20+01:00
44.8309778, -0.5719253;"{""coordinates"": [-0.5719253, 44.8309778], ""type"": ""Point""}";1238;0;;068;33063;10 Place de la Victoire 33000 Bordeaux;PARKING_PUBLIC;CITIZ;Victoire Parking Metpark;2;0;0;LIBRE;True;;2023-11-28T16:53:00+01:00
44.8637812, -0.6061357;"{""coordinates"": [-0.6061357, 44.8637812], ""type"": ""Point""}";1749;0;;126;33069;Av De Lattre De Tassigny;AUTRE;CITIZ;Titi Floris Tassigny;1;0;0;LIBRE;True;2023-11-29T17:08:34+01:00;2023-11-29T17:08:34+01:00
44.8605123, -0.6563005;"{""coordinates"": [-0.6563005, 44.8605123], ""type"": ""Point""}";1739;0;;101;33162;Rue de Castrillon;VOIRIE;CITIZ;Titi Floris Eysines;1;0;0;LIBRE;True;2023-11-29T16:07:11+01:00;2023-11-29T16:07:11+01:00
44.8523042, -0.6549317;"{""coordinates"": [-0.6549317, 44.8523042], ""type"": ""Point""}";1741;0;;105;33281;27 rue des Vignobles;PARKING_PUBLIC;CITIZ;Titi Floris Vignobles;1;0;0;LIBRE;True;2023-11-29T16:20:02+01:00;2023-11-29T16:20:02+01:00
